,importance
Wear_per_torque,0.8946004700091732
Torque [Nm],0.09830197742871814
Rotational speed [rpm],0.006307170624464424
Temp_diff,0.0002953474937960937
Process temperature [K],0.00022999987283984455
Air temperature [K],0.00017598081257854292
Type_L,4.11030050287503e-05
Type_M,3.18677696926689e-05
Type_H,1.608298370819449e-05
